h_pwm,v_pwm,distance_cm,h_angle_deg,v_angle_deg,x_cm,y_cm,z_cm
1228,1026,5,7.933333333333334,-22.37142857142857,4.5794280304075015,0.6381638721118404,-1.903046448894321
1228,1042,8,7.933333333333334,-20.314285714285713,7.430616072890664,1.035489736658318,-2.777355897715347
1228,1057,15,7.933333333333334,-18.385714285714286,14.098088326574278,1.964631953187566,-4.73118661908664
1228,1073,5,7.933333333333334,-16.32857142857143,4.752402891216222,0.6622686961681924,-1.4057264789550543
1228,1088,8,7.933333333333334,-14.4,7.674505398668706,1.0694768100377443,-1.9895190973188384
1228,1104,5,7.933333333333334,-12.342857142857143,4.837682526008523,0.6741527964510166,-1.0688057749605724
1228,1120,17,7.933333333333334,-10.285714285714286,16.566716355024873,2.308646360877616,-3.0354672115768233
1228,1135,5,7.933333333333334,-8.357142857142858,4.899561437301082,0.6827759007711014,-0.7267150689495636
1228,1151,18,7.933333333333334,-6.3,17.720065561629855,2.4693707549934154,-1.9752175996388148
1228,1166,27,7.933333333333334,-4.371428571428571,26.66379765179347,3.715720007321735,-2.0579892155698967
1228,1182,50,7.933333333333334,-2.3142857142857145,49.48107488729915,6.895410111625858,-2.0190461584574315
1228,1197,20,7.933333333333334,-0.38571428571428573,19.8081378153926,2.7603530055850807,-0.13463866818643652
1228,1213,8,7.933333333333334,1.6714285714285715,7.920063480249567,1.1036964320362699,0.2333423551940852
1228,1228,1,7.933333333333334,3.6,0.9884749475736095,0.13774842531437062,0.06279051952931337
1228,1244,45,7.933333333333334,5.6571428571428575,44.352248820640035,6.18068515463247,4.435893999109958
1228,1260,13,7.933333333333334,7.714285714285714,12.759054258601964,1.7780315393295842,1.745032455629521
1228,1275,27,7.933333333333334,9.642857142857142,26.363760549508363,3.6739084890054525,4.522668029227884
1228,1291,5,7.933333333333334,11.7,4.849254978955197,0.6757654697659468,1.0139364767825623
1228,1306,9,7.933333333333334,13.628571428571428,8.662881882542225,1.2072115139930948,2.1206409053878437
1228,1322,14,7.933333333333334,15.685714285714285,13.349629147159767,1.8603308035939317,3.785045697808941
1228,1337,40,7.933333333333334,17.614285714285714,37.75973197580825,5.261988311112905,12.10430172000166
1228,1353,45,7.933333333333334,19.67142857142857,41.96818878063351,5.848455676109081,15.148158194239159
1228,1368,50,7.933333333333334,21.6,46.04389526675975,6.416423687726945,18.4062276342339
1228,1384,48,7.933333333333334,23.65714285714286,43.54543762384085,6.068252389231691,19.260612012310762
1228,1400,67,7.933333333333334,25.714285714285715,59.78718169516781,8.331612402225545,29.070210520876394
1231,1011,12,8.783333333333333,-24.3,10.808581270471002,1.6700374914732918,-4.938172303261306
1231,1026,5,8.783333333333333,-22.37142857142857,4.5694571010975995,0.70602833836853,-1.903046448894321
1231,1042,15,8.783333333333333,-20.314285714285713,13.902069683025516,2.1480134162617177,-5.207542308216276
1231,1057,10,8.783333333333333,-18.385714285714286,9.378261417220921,1.449038294635859,-3.1541244127244266
1231,1073,5,8.783333333333333,-16.32857142857143,4.742055338428877,0.7326965494956389,-1.4057264789550543
1231,1088,5,8.783333333333333,-14.4,4.786122163961329,0.7395053293833809,-1.243449435824274
1231,1104,5,8.783333333333333,-12.342857142857143,4.82714929125294,0.7458444444836787,-1.0688057749605724
1231,1120,17,8.783333333333333,-10.285714285714286,16.53064513465056,2.5541554846359573,-3.0354672115768233
1231,1135,5,8.783333333333333,-8.357142857142858,4.8888934716913015,0.7553845583646804,-0.7267150689495636
1231,1151,5,8.783333333333333,-6.3,4.911523088500648,0.7588810679937962,-0.5486715554552264
1231,1166,1,8.783333333333333,-4.371428571428571,0.9853978424509288,0.15225414878508206,-0.07622182279888506
1231,1182,4,8.783333333333333,-2.3142857142857145,3.9498670578489947,0.6102952744560968,-0.16152369267659453
1231,1197,4,8.783333333333333,-0.38571428571428573,3.953001789702167,0.6107796229186295,-0.026927733637287305
1231,1213,1,8.783333333333333,1.6714285714285715,0.987852360345691,0.1526333971623824,0.02916779439926065
1231,1228,10,8.783333333333333,3.6,9.863227107087825,1.5239705048759402,0.6279051952931337
1231,1244,1,8.783333333333333,5.6571428571428575,0.9834595401551685,0.1519546610518888,0.09857542220244352
1231,1260,5,8.783333333333333,7.714285714285714,4.896643683793973,0.7565820462175674,0.6711663290882773
1231,1275,12,8.783333333333333,9.642857142857142,11.69171463283936,1.8064907213856536,2.010074679656837
1231,1291,1,8.783333333333333,11.7,0.9677393094284721,0.14952572296730246,0.20278729535651246
1231,1306,1,8.783333333333333,13.628571428571428,0.9604466581927618,0.14839893299634224,0.23562676726531598
1231,1322,24,8.783333333333333,15.685714285714285,22.83525015356141,3.5282821056085716,6.48864976767247
1231,1337,33,8.783333333333333,17.614285714285714,31.083951155044684,4.802791644253143,9.98604891900137
1231,1353,37,8.783333333333333,19.67142857142857,34.43204390450581,5.320106569922969,12.455152293041085
1231,1368,43,8.783333333333333,21.6,39.51153253222847,6.104940049316275,15.829355765441154
1231,1384,52,8.783333333333333,23.65714285714286,47.071510205399086,7.273034717151044,20.86566301333666
1231,1400,58,8.783333333333333,25.714285714285715,51.6433776601215,7.979435480060818,25.16525686881837
1235,1011,5,9.916666666666666,-24.3,4.488931242406173,0.7847895370705575,-2.057571793025544
1235,1026,5,9.916666666666666,-22.37142857142857,4.554598586881791,0.7962700080532338,-1.903046448894321
1235,1042,5,9.916666666666666,-20.314285714285713,4.618954763636356,0.8075212505952725,-1.735847436072092
1235,1057,5,9.916666666666666,-18.385714285714286,4.6738830514485326,0.8171242369713991,-1.5770622063622133
1235,1073,4,9.916666666666666,-16.32857142857143,3.781308468900686,0.6610774731401057,-1.1245811831640435
1235,1088,9,9.916666666666666,-14.4,8.587006415027794,1.5012466053410323,-2.238208984483693
1235,1104,13,9.916666666666666,-12.342857142857143,12.509777380741857,2.1870556418292786,-2.778895014897488
1235,1120,5,9.916666666666666,-10.285714285714286,4.846144822842157,0.8472403667418545,-0.8927844739931834
1235,1135,5,9.916666666666666,-8.357142857142858,4.872996245491005,0.8519347392800671,-0.7267150689495636
1235,1151,5,9.916666666666666,-6.3,4.895552277523074,0.855878158544183,-0.5486715554552264
1235,1166,1,9.916666666666666,-4.371428571428571,0.9821936220093435,0.17171465462616256,-0.07622182279888506
1235,1182,15,9.916666666666666,-2.3142857142857145,14.763837247532667,2.581127750280616,-0.6057138475372295
1235,1197,42,9.916666666666666,-0.38571428571428573,41.371551948794256,7.232893387866011,-0.2827412031915167
1235,1213,32,9.916666666666666,1.6714285714285715,31.508485073363033,5.50855606361763,0.9333694207763408
1235,1228,5,9.916666666666666,3.6,4.915577414354728,0.8593791072144203,0.31395259764656686
1235,1244,5,9.916666666666666,5.6571428571428575,4.901308112478189,0.8568844379469964,0.4928771110122176
1235,1260,18,9.916666666666666,7.714285714285714,17.570596522359857,3.07182702656969,2.4161987847177984
1235,1275,1,9.916666666666666,9.642857142857142,0.9711413881123174,0.16978241796330085,0.1675062233047364
1235,1291,1,9.916666666666666,11.7,0.9645925092795253,0.1686374925211452,0.20278729535651246
1235,1306,1,9.916666666666666,13.628571428571428,0.9573235715746917,0.16736668084052048,0.23562676726531598
1235,1322,38,9.916666666666666,15.685714285714285,36.038244803284734,6.30048355136872,10.273695465481412
1235,1337,38,9.916666666666666,17.614285714285714,35.67725045972833,6.237371739566306,11.499086634001577
1235,1353,43,9.916666666666666,19.67142857142857,39.88549971227082,6.973090289135819,14.47490671893964
1235,1368,45,9.916666666666666,21.6,41.21482268781726,7.2054927712101815,16.56560487081051
1235,1384,51,9.916666666666666,23.65714285714286,46.01616982713264,8.044901261850953,20.464400263080186
1235,1400,71,9.916666666666666,25.714285714285715,63.01304935593188,11.01642666438761,30.805745477346626
1238,1011,1,10.766666666666667,-24.3,0.8953590231432565,0.17025907417162695,-0.4115143586051088
1238,1026,19,10.766666666666667,-22.37142857142857,17.26068271166266,3.2822452023110826,-7.2315765057984205
1238,1042,18,10.766666666666667,-20.314285714285713,16.58328159468976,3.153432419910409,-6.24905076985953
1238,1057,5,10.766666666666667,-18.385714285714286,4.661246895138038,0.8863702272921581,-1.5770622063622133
